name,description
assignedtostep,assignedtostep
recorddatefix,recorddatefix
hypnostarttimefix,hypnostarttimefix
nightstarttimefix,nightstarttimefix
alarmtimefix,alarmtimefix
alarmofftimefix,alarmofftimefix
risetimefix,risetimefix
nightendtimefix,nightendtimefix
_merge1,Results of Profile/Sleep Dataset Merge
journalid,journalid
journaldate,journaldate
morningfeelscore,How did you feel you slept last night? (Subjective Sleep Feel Score)
dayfeelmoodscore,How did you feel today? (Mood)
dayfeelfocusscore,How did you feel today? (Focus)
dayfeelenergyscore,How did you feel today? (Energy)
stealer1,Did you have enough time to wind down before you had to turn out the lights last night?
stealer4,How sleepy were you when you went to bed last night?
stealer5,How much trouble did you have turning off your mind when going to sleep last night?
stealer6,How stressed or anxious were you last night because of anticipation for work or an appointment today?
stealer7,How tense were you before bed last night?
stealer8,"How comfortable was your bed last night (pillow, mattress, bed covers, etc)?"
stealer9,How noisy was it last night?
stealer10,How light was your room when you woke up this morning?
stealer11,How was the temperature in your room last night?
stealer12,How familiar was your sleeping environment last night?
stealer13,How ideal was your bedroom for sleeping last night?
stealer14,How close to bedtime did you exercise yesterday?
stealer15,How much time did you set aside to wind down before bedtime last night?
stealer17,How emotional were any conversations you had last night?
stealer18,"How stimulating were your activities (computer, phone, TV, etc.) within 1 hour of bedtime last night?"
stealer19,How late were you up working last night?
stealer20,How full were you when you went to bed last night?
stealer21,How hungry were you when you went to bed last night?
stealer22,How badly were you experiencing heartburn at bedtime last night?
stealer23,How much caffeine did you have after 3:00pm yesterday?
stealer24,How much alcohol did you have within 3 hours of bedtime last night?
stealer25,How thirsty were you while in bed last night?
stealer26,How many times did you need to use the restroom during the night?
stealer27,"How much was your sleep disrupted by someone else (partner, children, pets, etc.) last night?"
stealer28,How disruptive were your hot flashes last night?
stealer29,How much did dreaming affect the quality of your sleep last night?
createdate,createdate
journallastmodifieddate,journallastmodifieddate
createdatefix,createdatefix
journallastmodifieddatefix,journallastmodifieddatefix
_merge2,Results of Profile/Journal Dataset Merge
_merge3,Results of the Profile-Sleep/Profile-Journal Dataset Merge
date_start1,Manual Coaching Step 1 Start Date
date_end1,Manual Coaching Step 1 End Date
date_start2,date_start2
date_end2,date_end2
date_start3,date_start3
date_end3,date_end3
date_start4,date_start4
date_end4,date_end4
date_start5,date_start5
date_end5,date_end5
date_start6,date_start6
date_end6,date_end6
date_start7,date_start7
date_end7,date_end7
date_start8,date_start8
date_end8,date_end8
_merge4,_merge4
manualcoachingstep,Assigned to Manual Step
